"Number of Public Houses and Bars workplaces by London Borough, broken down by number of employees in Public House or Bar, 2001 to 2022",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area name,Number of employees in public house or bar,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,
K02000001,United Kingdom,10 or more,"13,675","13,060","12,375","12,490","12,620","12,430","12,955","12,990","12,620","12,220","11,890","12,525","13,185","14,485","15,500","15,570","15,795","15,975","16,205","16,120","15,620","15,800"
K02000001,United Kingdom,Any number of employees,"52,500","53,900","51,510","51,560","51,460","50,950","51,120","50,365","47,265","44,670","43,225","42,580","41,010","40,540","40,360","39,580","38,925","38,815","39,130","38,870","37,845","38,215"
K02000001,United Kingdom,Fewer than 10,"38,830","40,840","39,135","39,070","38,845","38,520","38,160","37,375","34,650","32,455","31,335","30,055","27,825","26,055","24,860","24,010","23,130","22,840","22,925","22,750","22,225","22,415"
E92000001,England,10 or more,"11,635","11,155","10,695","10,800","10,910","10,730","11,165","11,215","10,885","10,550","10,240","10,830","11,490","12,640","13,550","13,610","13,790","13,935","14,130","14,075","13,765","13,975"
E92000001,England,Any number of employees,"43,665","44,950","43,280","43,285","43,215","42,705","42,880","42,355","39,755","37,505","36,225","35,695","34,475","34,085","34,075","33,450","32,915","32,835","33,185","33,015","32,370","32,735"
E92000001,England,Fewer than 10,"32,030","33,790","32,585","32,485","32,300","31,970","31,710","31,140","28,870","26,960","25,990","24,865","22,985","21,450","20,525","19,840","19,125","18,900","19,055","18,940","18,610","18,765"
E12000007,London,10 or more,"1,450","1,405","1,410","1,375","1,435","1,430","1,500","1,460","1,470","1,450","1,450","1,555","1,635","1,740","1,810","1,845","1,845","1,855","1,860","1,850","1,840","1,770"
E12000007,London,Any number of employees,"4,835","4,875","4,530","4,455","4,445","4,335","4,295","4,210","4,025","3,890","3,770","3,770","3,665","3,615","3,675","3,615","3,530","3,540","3,530","3,575","3,555","3,575"
E12000007,London,Fewer than 10,"3,390","3,465","3,120","3,080","3,015","2,905","2,795","2,750","2,555","2,440","2,320","2,215","2,025","1,875","1,860","1,770","1,680","1,690","1,670","1,725","1,720","1,805"
